"Intermediary Value","nanoTime"
"100","9320903146800"
"50","9320903149700"
"25","9320903151400"
"76","9320903154800"
"38","9320903156400"
"19","9320903157800"
"58","9320903160700"
"29","9320903162300"
"88","9320903166700"
"44","9320903170000"
"22","9320903171600"
"11","9320903172900"
"34","9320903175900"
"17","9320903177400"
"52","9320903178800"
"26","9320903181700"
"13","9320903183300"
"40","9320903185300"
"20","9320903188500"
"10","9320903190200"
"5","9320903191600"
"16","9320903194600"
"8","9320903196200"
"4","9320903197700"
"2","9320903200600"
"1","9320903202200"
