"Intermediary Value","nanoTime"
"82","9320890384600"
"41","9320890387900"
"124","9320890390000"
"62","9320890393600"
"31","9320890395300"
"94","9320890396900"
"47","9320890400100"
"142","9320890401700"
"71","9320890403300"
"214","9320890406500"
"107","9320890408100"
"322","9320890409600"
"161","9320890412700"
"484","9320890414300"
"242","9320890415800"
"121","9320890419100"
"364","9320890420800"
"182","9320890422300"
"91","9320890425500"
"274","9320890427100"
"137","9320890428600"
"412","9320890432000"
"206","9320890433700"
"103","9320890435200"
"310","9320890438400"
"155","9320890469300"
"466","9320890471100"
"233","9320890474600"
"700","9320890476300"
"350","9320890477800"
"175","9320890481000"
"526","9320890482900"
"263","9320890484400"
"790","9320890487900"
"395","9320890489700"
"1186","9320890491300"
"593","9320890498100"
"1780","9320890499900"
"890","9320890501700"
"445","9320890506200"
"1336","9320890508700"
"668","9320890510300"
"334","9320890513900"
"167","9320890515900"
"502","9320890517300"
"251","9320890520500"
"754","9320890522500"
"377","9320890524100"
"1132","9320890527300"
"566","9320890529100"
"283","9320890530700"
"850","9320890534500"
"425","9320890536200"
"1276","9320890538000"
"638","9320890545300"
"319","9320890547100"
"958","9320890548700"
"479","9320890554400"
"1438","9320890556200"
"719","9320890557900"
"2158","9320890563300"
"1079","9320890565100"
"3238","9320890566700"
"1619","9320890569900"
"4858","9320890571700"
"2429","9320890573300"
"7288","9320890576300"
"3644","9320890578100"
"1822","9320890579600"
"911","9320890581100"
"2734","9320890584800"
"1367","9320890586400"
"4102","9320890587900"
"2051","9320890591200"
"6154","9320890592800"
"3077","9320890594300"
"9232","9320890597500"
"4616","9320890599200"
"2308","9320890600800"
"1154","9320890604000"
"577","9320890605700"
"1732","9320890607400"
"866","9320890610700"
"433","9320890612400"
"1300","9320890614000"
"650","9320890617200"
"325","9320890619000"
"976","9320890622700"
"488","9320890628400"
"244","9320890630200"
"122","9320890632000"
"61","9320890637200"
"184","9320890639100"
"92","9320890640700"
"46","9320890644800"
"23","9320890646400"
"70","9320890648000"
"35","9320890652700"
"106","9320890654500"
"53","9320890656300"
"160","9320890659700"
"80","9320890661400"
"40","9320890663200"
"20","9320890667100"
"10","9320890668800"
"5","9320890670500"
"16","9320890674100"
"8","9320890676900"
"4","9320890678700"
"2","9320890682000"
"1","9320890683600"
