"Intermediary Value","nanoTime"
"67","9320876934900"
"202","9320876938700"
"101","9320876941300"
"304","9320876945900"
"152","9320876947900"
"76","9320876949800"
"38","9320876953200"
"19","9320876955200"
"58","9320876957100"
"29","9320876958800"
"88","9320876962200"
"44","9320876964300"
"22","9320876966000"
"11","9320876969500"
"34","9320876971400"
"17","9320876975500"
"52","9320876979100"
"26","9320876980900"
"13","9320876982900"
"40","9320876986400"
"20","9320876988500"
"10","9320876990400"
"5","9320876993900"
"16","9320876996100"
"8","9320876998000"
"4","9320877001400"
"2","9320877003300"
"1","9320877005200"
