"Intermediary Value","nanoTime"
"50","9320863855700"
"25","9320863862700"
"76","9320863866000"
"38","9320863869000"
"19","9320863874900"
"58","9320863878000"
"29","9320863881100"
"88","9320863885800"
"44","9320863888800"
"22","9320863891800"
"11","9320863896600"
"34","9320863899700"
"17","9320863902600"
"52","9320863907300"
"26","9320863910400"
"13","9320863913600"
"40","9320863919000"
"20","9320863922000"
"10","9320863928200"
"5","9320863933700"
"16","9320863936800"
"8","9320863939800"
"4","9320863945100"
"2","9320863948100"
"1","9320863951100"
