"Intermediary Value","nanoTime"
"86","9320893400600"
"43","9320893403800"
"130","9320893405700"
"65","9320893409500"
"196","9320893411500"
"98","9320893413000"
"49","9320893416200"
"148","9320893418200"
"74","9320893419800"
"37","9320893423100"
"112","9320893424800"
"56","9320893426300"
"28","9320893429700"
"14","9320893431500"
"7","9320893433000"
"22","9320893436200"
"11","9320893444000"
"34","9320893447000"
"17","9320893455100"
"52","9320893458000"
"26","9320893460300"
"13","9320893464100"
"40","9320893466000"
"20","9320893467500"
"10","9320893470600"
"5","9320893472600"
"16","9320893474400"
"8","9320893477600"
"4","9320893479300"
"2","9320893481000"
"1","9320893482500"
