"Intermediary Value","nanoTime"
"87","9320894042000"
"262","9320894047200"
"131","9320894049200"
"394","9320894050800"
"197","9320894054000"
"592","9320894055700"
"296","9320894057200"
"148","9320894060400"
"74","9320894062000"
"37","9320894063600"
"112","9320894067200"
"56","9320894069000"
"28","9320894070500"
"14","9320894073600"
"7","9320894075300"
"22","9320894093300"
"11","9320894097000"
"34","9320894098700"
"17","9320894100200"
"52","9320894103400"
"26","9320894105200"
"13","9320894106700"
"40","9320894109800"
"20","9320894111500"
"10","9320894113000"
"5","9320894116100"
"16","9320894117800"
"8","9320894119400"
"4","9320894122600"
"2","9320894124400"
"1","9320894125900"
