"Intermediary Value","nanoTime"
"31","9320849708400"
"94","9320849715600"
"47","9320849719400"
"142","9320849722700"
"71","9320849727600"
"214","9320849731000"
"107","9320849734400"
"322","9320849739000"
"161","9320849742500"
"484","9320849745600"
"242","9320849750200"
"121","9320849753600"
"364","9320849756700"
"182","9320849759700"
"91","9320849764700"
"274","9320849767700"
"137","9320849770800"
"412","9320849775700"
"206","9320849778900"
"103","9320849782000"
"310","9320849787900"
"155","9320849791200"
"466","9320849794500"
"233","9320849799400"
"700","9320849802800"
"350","9320849806000"
"175","9320849810900"
"526","9320849814100"
"263","9320849817400"
"790","9320849822300"
"395","9320849825600"
"1186","9320849828900"
"593","9320849833800"
"1780","9320849837200"
"890","9320849840500"
"445","9320849845600"
"1336","9320849848800"
"668","9320849866500"
"334","9320849872500"
"167","9320849875900"
"502","9320849879200"
"251","9320849884100"
"754","9320849887400"
"377","9320849890500"
"1132","9320849895700"
"566","9320849899000"
"283","9320849902100"
"850","9320849907000"
"425","9320849910200"
"1276","9320849913500"
"638","9320849918700"
"319","9320849924100"
"958","9320849927400"
"479","9320849932700"
"1438","9320849935900"
"719","9320849939000"
"2158","9320849943900"
"1079","9320849947200"
"3238","9320849950300"
"1619","9320849955200"
"4858","9320849958600"
"2429","9320849961700"
"7288","9320849966600"
"3644","9320849969900"
"1822","9320849973000"
"911","9320849977900"
"2734","9320849981100"
"1367","9320849984300"
"4102","9320849989200"
"2051","9320849992400"
"6154","9320849995500"
"3077","9320850000600"
"9232","9320850003700"
"4616","9320850007800"
"2308","9320850013800"
"1154","9320850017100"
"577","9320850020200"
"1732","9320850025100"
"866","9320850028500"
"433","9320850031600"
"1300","9320850051900"
"650","9320850055600"
"325","9320850058900"
"976","9320850064000"
"488","9320850067500"
"244","9320850070600"
"122","9320850075300"
"61","9320850078500"
"184","9320850081600"
"92","9320850086600"
"46","9320850089800"
"23","9320850092800"
"70","9320850097500"
"35","9320850100800"
"106","9320850105000"
"53","9320850110200"
"160","9320850113400"
"80","9320850116500"
"40","9320850121300"
"20","9320850124600"
"10","9320850127600"
"5","9320850132400"
"16","9320850135900"
"8","9320850138900"
"4","9320850143500"
"2","9320850146600"
"1","9320850149500"
