"Intermediary Value","nanoTime"
"71","9320879438100"
"214","9320879484400"
"107","9320879490600"
"322","9320879492700"
"161","9320879494500"
"484","9320879498000"
"242","9320879499900"
"121","9320879501700"
"364","9320879505100"
"182","9320879507300"
"91","9320879509300"
"274","9320879512700"
"137","9320879514700"
"412","9320879518300"
"206","9320879521900"
"103","9320879524000"
"310","9320879525800"
"155","9320879529200"
"466","9320879531100"
"233","9320879532900"
"700","9320879536300"
"350","9320879551800"
"175","9320879565200"
"526","9320879569000"
"263","9320879571000"
"790","9320879572800"
"395","9320879576100"
"1186","9320879578100"
"593","9320879580100"
"1780","9320879583200"
"890","9320879585400"
"445","9320879587300"
"1336","9320879588900"
"668","9320879592500"
"334","9320879594600"
"167","9320879596300"
"502","9320879599700"
"251","9320879601600"
"754","9320879603300"
"377","9320879606800"
"1132","9320879610700"
"566","9320879612800"
"283","9320879616400"
"850","9320879618300"
"425","9320879620200"
"1276","9320879623500"
"638","9320879625400"
"319","9320879627300"
"958","9320879631100"
"479","9320879633100"
"1438","9320879635100"
"719","9320879639300"
"2158","9320879641400"
"1079","9320879643400"
"3238","9320879647700"
"1619","9320879649600"
"4858","9320879651700"
"2429","9320879655500"
"7288","9320879657500"
"3644","9320879659400"
"1822","9320879662800"
"911","9320879664800"
"2734","9320879666600"
"1367","9320879670200"
"4102","9320879672400"
"2051","9320879674200"
"6154","9320879677900"
"3077","9320879679800"
"9232","9320879681700"
"4616","9320879685200"
"2308","9320879687100"
"1154","9320879689000"
"577","9320879692600"
"1732","9320879694600"
"866","9320879696400"
"433","9320879699900"
"1300","9320879701700"
"650","9320879703400"
"325","9320879706800"
"976","9320879708700"
"488","9320879710400"
"244","9320879713800"
"122","9320879715700"
"61","9320879717500"
"184","9320879720800"
"92","9320879722600"
"46","9320879724400"
"23","9320879727800"
"70","9320879729700"
"35","9320879731400"
"106","9320879734700"
"53","9320879736600"
"160","9320879738300"
"80","9320879741500"
"40","9320879743300"
"20","9320879745000"
"10","9320879748400"
"5","9320879750200"
"16","9320879752000"
"8","9320879755400"
"4","9320879757300"
"2","9320879759000"
"1","9320879762400"
