"Intermediary Value","nanoTime"
"25","9320844847300"
"76","9320844879000"
"38","9320844892100"
"19","9320844898800"
"58","9320844904800"
"29","9320844912800"
"88","9320844920300"
"44","9320844931400"
"22","9320844936600"
"11","9320844946400"
"34","9320844951600"
"17","9320844956700"
"52","9320844964300"
"26","9320844969200"
"13","9320844974000"
"40","9320844983200"
"20","9320844988200"
"10","9320844993100"
"5","9320845000200"
"16","9320845005600"
"8","9320845010600"
"4","9320845018100"
"2","9320845023400"
"1","9320845028300"
