"Intermediary Value","nanoTime"
"27","9320846250600"
"82","9320846260300"
"41","9320846265800"
"124","9320846271200"
"62","9320846278700"
"31","9320846283900"
"94","9320846291800"
"47","9320846298800"
"142","9320846303700"
"71","9320846308800"
"214","9320846315600"
"107","9320846320700"
"322","9320846325700"
"161","9320846332700"
"484","9320846338400"
"242","9320846343500"
"121","9320846350400"
"364","9320846355500"
"182","9320846360500"
"91","9320846367500"
"274","9320846372600"
"137","9320846377600"
"412","9320846384700"
"206","9320846389800"
"103","9320846394700"
"310","9320846401600"
"155","9320846406700"
"466","9320846411800"
"233","9320846424000"
"700","9320846429200"
"350","9320846434200"
"175","9320846441000"
"526","9320846446000"
"263","9320846451000"
"790","9320846457800"
"395","9320846462700"
"1186","9320846467600"
"593","9320846482200"
"1780","9320846500100"
"890","9320846508500"
"445","9320846516600"
"1336","9320846522000"
"668","9320846527200"
"334","9320846534300"
"167","9320846539600"
"502","9320846550500"
"251","9320846557700"
"754","9320846563000"
"377","9320846568100"
"1132","9320846574800"
"566","9320846580600"
"283","9320846585500"
"850","9320846592400"
"425","9320846597600"
"1276","9320846602800"
"638","9320846609900"
"319","9320846615100"
"958","9320846642900"
"479","9320846650700"
"1438","9320846655700"
"719","9320846660800"
"2158","9320846671500"
"1079","9320846678900"
"3238","9320846684300"
"1619","9320846691600"
"4858","9320846696800"
"2429","9320846702400"
"7288","9320846709400"
"3644","9320846715800"
"1822","9320846721200"
"911","9320846728200"
"2734","9320846733600"
"1367","9320846738700"
"4102","9320846745300"
"2051","9320846751000"
"6154","9320846756000"
"3077","9320846761200"
"9232","9320846768200"
"4616","9320846780100"
"2308","9320846796700"
"1154","9320846804800"
"577","9320846810000"
"1732","9320846814900"
"866","9320846821900"
"433","9320846834200"
"1300","9320846839700"
"650","9320846847700"
"325","9320846853000"
"976","9320846857900"
"488","9320846865100"
"244","9320846875500"
"122","9320846880600"
"61","9320846887600"
"184","9320846892800"
"92","9320846897700"
"46","9320846904400"
"23","9320846909500"
"70","9320846914700"
"35","9320846921400"
"106","9320846926500"
"53","9320846931500"
"160","9320846938500"
"80","9320846943700"
"40","9320846950700"
"20","9320846963700"
"10","9320846968800"
"5","9320846974500"
"16","9320846981800"
"8","9320846986800"
"4","9320846991400"
"2","9320846999600"
"1","9320847004300"
