"Intermediary Value","nanoTime"
"91","9320896617600"
"274","9320896621000"
"137","9320896623000"
"412","9320896626700"
"206","9320896628300"
"103","9320896629900"
"310","9320896634000"
"155","9320896635600"
"466","9320896637100"
"233","9320896640500"
"700","9320896642100"
"350","9320896643600"
"175","9320896650000"
"526","9320896651700"
"263","9320896653200"
"790","9320896656500"
"395","9320896658200"
"1186","9320896659700"
"593","9320896663300"
"1780","9320896664900"
"890","9320896666500"
"445","9320896670100"
"1336","9320896671800"
"668","9320896673300"
"334","9320896676500"
"167","9320896678200"
"502","9320896679700"
"251","9320896685000"
"754","9320896686600"
"377","9320896688200"
"1132","9320896691400"
"566","9320896693100"
"283","9320896694600"
"850","9320896697600"
"425","9320896699200"
"1276","9320896700700"
"638","9320896703900"
"319","9320896705600"
"958","9320896707100"
"479","9320896710300"
"1438","9320896712000"
"719","9320896713500"
"2158","9320896716700"
"1079","9320896718400"
"3238","9320896720000"
"1619","9320896723200"
"4858","9320896725100"
"2429","9320896726700"
"7288","9320896730000"
"3644","9320896731700"
"1822","9320896733600"
"911","9320896736800"
"2734","9320896738400"
"1367","9320896740000"
"4102","9320896743200"
"2051","9320896744900"
"6154","9320896746400"
"3077","9320896751700"
"9232","9320896753600"
"4616","9320896755100"
"2308","9320896756600"
"1154","9320896760000"
"577","9320896761700"
"1732","9320896763200"
"866","9320896766500"
"433","9320896768200"
"1300","9320896769700"
"650","9320896773300"
"325","9320896775000"
"976","9320896776400"
"488","9320896780000"
"244","9320896781700"
"122","9320896783700"
"61","9320896787100"
"184","9320896788800"
"92","9320896790500"
"46","9320896793700"
"23","9320896795500"
"70","9320896797200"
"35","9320896800500"
"106","9320896802200"
"53","9320896803900"
"160","9320896807200"
"80","9320896808800"
"40","9320896810400"
"20","9320896813800"
"10","9320896815500"
"5","9320896817200"
"16","9320896820600"
"8","9320896822300"
"4","9320896823900"
"2","9320896827400"
"1","9320896829000"
