"Intermediary Value","nanoTime"
"49","9320863098000"
"148","9320863103400"
"74","9320863108300"
"37","9320863113700"
"112","9320863116800"
"56","9320863119900"
"28","9320863124900"
"14","9320863128000"
"7","9320863131000"
"22","9320863135800"
"11","9320863194500"
"34","9320863198200"
"17","9320863203800"
"52","9320863207000"
"26","9320863209900"
"13","9320863214800"
"40","9320863217800"
"20","9320863222400"
"10","9320863227300"
"5","9320863230400"
"16","9320863233400"
"8","9320863238000"
"4","9320863241000"
"2","9320863243900"
"1","9320863248700"
