"Intermediary Value","nanoTime"
"63","9320873988700"
"190","9320873992700"
"95","9320873998300"
"286","9320874000800"
"143","9320874003000"
"430","9320874007300"
"215","9320874009400"
"646","9320874011500"
"323","9320874015500"
"970","9320874017700"
"485","9320874019900"
"1456","9320874023900"
"728","9320874026400"
"364","9320874029000"
"182","9320874033700"
"91","9320874035800"
"274","9320874037800"
"137","9320874041700"
"412","9320874043800"
"206","9320874045800"
"103","9320874049800"
"310","9320874051900"
"155","9320874053900"
"466","9320874057600"
"233","9320874059600"
"700","9320874061600"
"350","9320874065400"
"175","9320874067500"
"526","9320874069500"
"263","9320874073400"
"790","9320874075400"
"395","9320874077400"
"1186","9320874081200"
"593","9320874083400"
"1780","9320874085400"
"890","9320874089100"
"445","9320874091300"
"1336","9320874093200"
"668","9320874096800"
"334","9320874098900"
"167","9320874100900"
"502","9320874104600"
"251","9320874106700"
"754","9320874108800"
"377","9320874112400"
"1132","9320874114500"
"566","9320874116600"
"283","9320874120300"
"850","9320874122400"
"425","9320874124400"
"1276","9320874128100"
"638","9320874130200"
"319","9320874132200"
"958","9320874135900"
"479","9320874138000"
"1438","9320874140000"
"719","9320874143800"
"2158","9320874145900"
"1079","9320874147900"
"3238","9320874151600"
"1619","9320874153700"
"4858","9320874155700"
"2429","9320874159500"
"7288","9320874161600"
"3644","9320874163600"
"1822","9320874167100"
"911","9320874169200"
"2734","9320874171200"
"1367","9320874175100"
"4102","9320874177100"
"2051","9320874179100"
"6154","9320874182700"
"3077","9320874184900"
"9232","9320874186900"
"4616","9320874188900"
"2308","9320874192600"
"1154","9320874194600"
"577","9320874196600"
"1732","9320874200300"
"866","9320874202400"
"433","9320874204400"
"1300","9320874208100"
"650","9320874210100"
"325","9320874212200"
"976","9320874215800"
"488","9320874218100"
"244","9320874220300"
"122","9320874224100"
"61","9320874226300"
"184","9320874228500"
"92","9320874234900"
"46","9320874237300"
"23","9320874240100"
"70","9320874244200"
"35","9320874246500"
"106","9320874248600"
"53","9320874252600"
"160","9320874254700"
"80","9320874256900"
"40","9320874261400"
"20","9320874263500"
"10","9320874265600"
"5","9320874269600"
"16","9320874271900"
"8","9320874274000"
"4","9320874278600"
"2","9320874280700"
"1","9320874282700"
