"Intermediary Value","nanoTime"
"54","9320866681600"
"27","9320866694400"
"82","9320866709900"
"41","9320866740800"
"124","9320866752100"
"62","9320866769600"
"31","9320866775000"
"94","9320866778100"
"47","9320866784000"
"142","9320866787000"
"71","9320866792800"
"214","9320866798200"
"107","9320866801100"
"322","9320866803800"
"161","9320866808100"
"484","9320866811900"
"242","9320866814800"
"121","9320866819400"
"364","9320866822100"
"182","9320866824700"
"91","9320866828800"
"274","9320866831600"
"137","9320866834400"
"412","9320866837700"
"206","9320866842200"
"103","9320866846300"
"310","9320866849200"
"155","9320866853700"
"466","9320866856400"
"233","9320866858900"
"700","9320866863400"
"350","9320866870900"
"175","9320866873500"
"526","9320866877900"
"263","9320866890600"
"790","9320866893700"
"395","9320866898300"
"1186","9320866900900"
"593","9320866904700"
"1780","9320866909100"
"890","9320866911800"
"445","9320866914400"
"1336","9320866918400"
"668","9320866921200"
"334","9320866924000"
"167","9320866928000"
"502","9320866930500"
"251","9320866933000"
"754","9320866937100"
"377","9320866939700"
"1132","9320866942100"
"566","9320866946300"
"283","9320866948900"
"850","9320866951200"
"425","9320866955600"
"1276","9320866958100"
"638","9320866960500"
"319","9320866969000"
"958","9320866971600"
"479","9320866974000"
"1438","9320866978300"
"719","9320866980900"
"2158","9320866983300"
"1079","9320866987700"
"3238","9320866990500"
"1619","9320867002900"
"4858","9320867008500"
"2429","9320867011100"
"7288","9320867013500"
"3644","9320867017600"
"1822","9320867020100"
"911","9320867022500"
"2734","9320867026600"
"1367","9320867029000"
"4102","9320867031400"
"2051","9320867035600"
"6154","9320867038100"
"3077","9320867040500"
"9232","9320867083100"
"4616","9320867086100"
"2308","9320867090100"
"1154","9320867095000"
"577","9320867097600"
"1732","9320867099900"
"866","9320867106100"
"433","9320867109300"
"1300","9320867112300"
"650","9320867116500"
"325","9320867119100"
"976","9320867121500"
"488","9320867125500"
"244","9320867128300"
"122","9320867130600"
"61","9320867134900"
"184","9320867137700"
"92","9320867140100"
"46","9320867145000"
"23","9320867149100"
"70","9320867152000"
"35","9320867156100"
"106","9320867158500"
"53","9320867160800"
"160","9320867164800"
"80","9320867167500"
"40","9320867169800"
"20","9320867173900"
"10","9320867176500"
"5","9320867179000"
"16","9320867185600"
"8","9320867188100"
"4","9320867190500"
"2","9320867194400"
"1","9320867197100"
