"Intermediary Value","nanoTime"
"9","1834596229185700"
"28","1834596229203400"
"14","1834596229221200"
"7","1834596229237600"
"22","1834596229251400"
"11","1834596229266600"
"34","1834596229279500"
"17","1834596229325900"
"52","1834596229342300"
"26","1834596229355300"
"13","1834596229367900"
"40","1834596229383800"
"20","1834596229415700"
"10","1834596229443400"
"5","1834596229466200"
"16","1834596229480100"
"8","1834596229493500"
"4","1834596229511400"
"2","1834596229524400"
"1","1834596229539600"
