"Intermediary Value","nanoTime"
"47","9320861470400"
"142","9320861476900"
"71","9320861483200"
"214","9320861486400"
"107","9320861493900"
"322","9320861499100"
"161","9320861502200"
"484","9320861506200"
"242","9320861511100"
"121","9320861514400"
"364","9320861518200"
"182","9320861522900"
"91","9320861526400"
"274","9320861529300"
"137","9320861534300"
"412","9320861537400"
"206","9320861540400"
"103","9320861545000"
"310","9320861548000"
"155","9320861550900"
"466","9320861555700"
"233","9320861558900"
"700","9320861561800"
"350","9320861566700"
"175","9320861569700"
"526","9320861572600"
"263","9320861578100"
"790","9320861581200"
"395","9320861584100"
"1186","9320861589100"
"593","9320861592300"
"1780","9320861595200"
"890","9320861600000"
"445","9320861603100"
"1336","9320861606000"
"668","9320861610700"
"334","9320861614000"
"167","9320861616900"
"502","9320861621500"
"251","9320861624500"
"754","9320861627400"
"377","9320861632000"
"1132","9320861635000"
"566","9320861637900"
"283","9320861642600"
"850","9320861645600"
"425","9320861649500"
"1276","9320861654200"
"638","9320861657400"
"319","9320861660300"
"958","9320861665000"
"479","9320861668100"
"1438","9320861671000"
"719","9320861675700"
"2158","9320861678700"
"1079","9320861681700"
"3238","9320861686400"
"1619","9320861690300"
"4858","9320861693300"
"2429","9320861698200"
"7288","9320861701200"
"3644","9320861704200"
"1822","9320861708900"
"911","9320861712000"
"2734","9320861714900"
"1367","9320861719500"
"4102","9320861722500"
"2051","9320861725700"
"6154","9320861730300"
"3077","9320861733700"
"9232","9320861737600"
"4616","9320861742400"
"2308","9320861745600"
"1154","9320861748600"
"577","9320861753400"
"1732","9320861758900"
"866","9320861762400"
"433","9320861768000"
"1300","9320861771300"
"650","9320861774400"
"325","9320861779000"
"976","9320861782200"
"488","9320861785300"
"244","9320861789400"
"122","9320861794600"
"61","9320861797500"
"184","9320861800400"
"92","9320861805300"
"46","9320861808300"
"23","9320861811100"
"70","9320861816000"
"35","9320861820600"
"106","9320861824000"
"53","9320861829200"
"160","9320861832300"
"80","9320861835700"
"40","9320861840400"
"20","9320861843500"
"10","9320861846400"
"5","9320861851900"
"16","9320861855300"
"8","9320861858400"
"4","9320861863600"
"2","9320861866900"
"1","9320861869900"
