"Intermediary Value","nanoTime"
"59","9320870797400"
"178","9320870805000"
"89","9320870810400"
"268","9320870813300"
"134","9320870815900"
"67","9320870820200"
"202","9320870822800"
"101","9320870825300"
"304","9320870829300"
"152","9320870831900"
"76","9320870834400"
"38","9320870838500"
"19","9320870841100"
"58","9320870843500"
"29","9320870847600"
"88","9320870850100"
"44","9320870852500"
"22","9320870856500"
"11","9320870859000"
"34","9320870861400"
"17","9320870866300"
"52","9320870868800"
"26","9320870871200"
"13","9320870875300"
"40","9320870877700"
"20","9320870879900"
"10","9320870884000"
"5","9320870886500"
"16","9320870888800"
"8","9320870892900"
"4","9320870895400"
"2","9320870897600"
"1","9320870902100"
