"Intermediary Value","nanoTime"
"95","9320899518600"
"286","9320899523600"
"143","9320899525500"
"430","9320899526900"
"215","9320899530000"
"646","9320899531600"
"323","9320899533000"
"970","9320899536000"
"485","9320899537600"
"1456","9320899539100"
"728","9320899542400"
"364","9320899544200"
"182","9320899545700"
"91","9320899549200"
"274","9320899550800"
"137","9320899552300"
"412","9320899555300"
"206","9320899556900"
"103","9320899558300"
"310","9320899561400"
"155","9320899563300"
"466","9320899564600"
"233","9320899567600"
"700","9320899569400"
"350","9320899570900"
"175","9320899573800"
"526","9320899575400"
"263","9320899576900"
"790","9320899579700"
"395","9320899581400"
"1186","9320899582900"
"593","9320899585800"
"1780","9320899587400"
"890","9320899588900"
"445","9320899590300"
"1336","9320899593500"
"668","9320899595000"
"334","9320899596300"
"167","9320899599400"
"502","9320899600800"
"251","9320899602200"
"754","9320899605200"
"377","9320899606700"
"1132","9320899608200"
"566","9320899611300"
"283","9320899612800"
"850","9320899614400"
"425","9320899617500"
"1276","9320899619000"
"638","9320899620600"
"319","9320899623600"
"958","9320899625200"
"479","9320899626700"
"1438","9320899629600"
"719","9320899631300"
"2158","9320899632900"
"1079","9320899636100"
"3238","9320899644500"
"1619","9320899646100"
"4858","9320899649200"
"2429","9320899650700"
"7288","9320899652400"
"3644","9320899655500"
"1822","9320899657100"
"911","9320899658600"
"2734","9320899661900"
"1367","9320899663700"
"4102","9320899665200"
"2051","9320899668400"
"6154","9320899673000"
"3077","9320899674600"
"9232","9320899678800"
"4616","9320899695700"
"2308","9320899697200"
"1154","9320899701200"
"577","9320899702700"
"1732","9320899704100"
"866","9320899707400"
"433","9320899708900"
"1300","9320899710300"
"650","9320899714000"
"325","9320899715600"
"976","9320899716900"
"488","9320899720500"
"244","9320899722200"
"122","9320899723600"
"61","9320899726900"
"184","9320899728500"
"92","9320899730000"
"46","9320899736500"
"23","9320899737900"
"70","9320899739300"
"35","9320899744400"
"106","9320899746100"
"53","9320899747500"
"160","9320899751200"
"80","9320899752800"
"40","9320899754200"
"20","9320899758000"
"10","9320899759500"
"5","9320899760900"
"16","9320899764000"
"8","9320899765900"
"4","9320899767300"
"2","9320899771000"
"1","9320899772400"
