"Intermediary Value","nanoTime"
"33","9320851378100"
"100","9320851383300"
"50","9320851387100"
"25","9320851392200"
"76","9320851395700"
"38","9320851398800"
"19","9320851403600"
"58","9320851407000"
"29","9320851410100"
"88","9320851414800"
"44","9320851418200"
"22","9320851421200"
"11","9320851424200"
"34","9320851429200"
"17","9320851432300"
"52","9320851435300"
"26","9320851440300"
"13","9320851443400"
"40","9320851446400"
"20","9320851451500"
"10","9320851454700"
"5","9320851460700"
"16","9320851472000"
"8","9320851479100"
"4","9320851484300"
"2","9320851489900"
"1","9320851493100"
