"Intermediary Value","nanoTime"
"55","9320867816700"
"166","9320867821300"
"83","9320867824100"
"250","9320867828600"
"125","9320867831400"
"376","9320867833800"
"188","9320867838000"
"94","9320867840500"
"47","9320867842900"
"142","9320867847000"
"71","9320867853500"
"214","9320867856700"
"107","9320867861100"
"322","9320867865600"
"161","9320867868100"
"484","9320867872400"
"242","9320867874900"
"121","9320867877300"
"364","9320867881600"
"182","9320867884100"
"91","9320867886500"
"274","9320867890600"
"137","9320867893200"
"412","9320867895600"
"206","9320867899600"
"103","9320867902200"
"310","9320867904500"
"155","9320867908500"
"466","9320867911000"
"233","9320867913400"
"700","9320867917400"
"350","9320867919900"
"175","9320867922300"
"526","9320867926300"
"263","9320867928800"
"790","9320867931200"
"395","9320867935200"
"1186","9320867937700"
"593","9320867940300"
"1780","9320867948500"
"890","9320867951200"
"445","9320867953600"
"1336","9320867960000"
"668","9320867962700"
"334","9320867965200"
"167","9320867969500"
"502","9320867972200"
"251","9320867974800"
"754","9320867978800"
"377","9320867981400"
"1132","9320867983900"
"566","9320867987800"
"283","9320867990400"
"850","9320867992800"
"425","9320867996800"
"1276","9320867999300"
"638","9320868001800"
"319","9320868005800"
"958","9320868008200"
"479","9320868010600"
"1438","9320868014500"
"719","9320868017100"
"2158","9320868019500"
"1079","9320868023400"
"3238","9320868026000"
"1619","9320868028500"
"4858","9320868030800"
"2429","9320868035200"
"7288","9320868037600"
"3644","9320868040000"
"1822","9320868044100"
"911","9320868046600"
"2734","9320868048900"
"1367","9320868053000"
"4102","9320868055600"
"2051","9320868058100"
"6154","9320868062200"
"3077","9320868064800"
"9232","9320868067400"
"4616","9320868071500"
"2308","9320868074200"
"1154","9320868078100"
"577","9320868083200"
"1732","9320868085900"
"866","9320868088700"
"433","9320868093600"
"1300","9320868096200"
"650","9320868098900"
"325","9320868103400"
"976","9320868106000"
"488","9320868108600"
"244","9320868112800"
"122","9320868115500"
"61","9320868118100"
"184","9320868124400"
"92","9320868127300"
"46","9320868130000"
"23","9320868134100"
"70","9320868136600"
"35","9320868139100"
"106","9320868143200"
"53","9320868145800"
"160","9320868148400"
"80","9320868152500"
"40","9320868155100"
"20","9320868157600"
"10","9320868161700"
"5","9320868164100"
"16","9320868166600"
"8","9320868170700"
"4","9320868173200"
"2","9320868175500"
"1","9320868179500"
