"Intermediary Value","nanoTime"
"51","9320864559000"
"154","9320864570600"
"77","9320864574400"
"232","9320864577600"
"116","9320864583600"
"58","9320864587100"
"29","9320864591000"
"88","9320864595800"
"44","9320864598900"
"22","9320864601800"
"11","9320864606400"
"34","9320864609400"
"17","9320864612400"
"52","9320864617100"
"26","9320864620300"
"13","9320864623300"
"40","9320864627700"
"20","9320864630900"
"10","9320864633800"
"5","9320864636700"
"16","9320864645200"
"8","9320864649400"
"4","9320864652400"
"2","9320864660300"
"1","9320864663300"
