"Intermediary Value","nanoTime"
"83","9320891276000"
"250","9320891279200"
"125","9320891283000"
"376","9320891284900"
"188","9320891286500"
"94","9320891289500"
"47","9320891291300"
"142","9320891292900"
"71","9320891294400"
"214","9320891297600"
"107","9320891299200"
"322","9320891300700"
"161","9320891303900"
"484","9320891305400"
"242","9320891306900"
"121","9320891310100"
"364","9320891311600"
"182","9320891313000"
"91","9320891316300"
"274","9320891318000"
"137","9320891319700"
"412","9320891322800"
"206","9320891324800"
"103","9320891326400"
"310","9320891329500"
"155","9320891331200"
"466","9320891332900"
"233","9320891336000"
"700","9320891337700"
"350","9320891339400"
"175","9320891342500"
"526","9320891344300"
"263","9320891346000"
"790","9320891352700"
"395","9320891354500"
"1186","9320891356200"
"593","9320891359600"
"1780","9320891361300"
"890","9320891363100"
"445","9320891366300"
"1336","9320891368000"
"668","9320891369600"
"334","9320891372800"
"167","9320891374500"
"502","9320891376200"
"251","9320891379400"
"754","9320891381100"
"377","9320891382900"
"1132","9320891386300"
"566","9320891388100"
"283","9320891389900"
"850","9320891393200"
"425","9320891394800"
"1276","9320891396300"
"638","9320891399500"
"319","9320891401200"
"958","9320891402800"
"479","9320891405900"
"1438","9320891407500"
"719","9320891409100"
"2158","9320891412100"
"1079","9320891413800"
"3238","9320891415300"
"1619","9320891418400"
"4858","9320891420000"
"2429","9320891421600"
"7288","9320891424700"
"3644","9320891426500"
"1822","9320891428000"
"911","9320891431100"
"2734","9320891432700"
"1367","9320891434200"
"4102","9320891437500"
"2051","9320891443100"
"6154","9320891446900"
"3077","9320891452500"
"9232","9320891456600"
"4616","9320891459600"
"2308","9320891463700"
"1154","9320891465700"
"577","9320891467300"
"1732","9320891470500"
"866","9320891472300"
"433","9320891473800"
"1300","9320891479600"
"650","9320891481300"
"325","9320891482900"
"976","9320891485900"
"488","9320891487700"
"244","9320891489300"
"122","9320891492400"
"61","9320891494000"
"184","9320891495500"
"92","9320891498500"
"46","9320891500100"
"23","9320891501600"
"70","9320891504600"
"35","9320891506300"
"106","9320891507900"
"53","9320891511100"
"160","9320891512800"
"80","9320891514400"
"40","9320891517400"
"20","9320891519100"
"10","9320891520700"
"5","9320891523900"
"16","9320891525700"
"8","9320891527500"
"4","9320891530400"
"2","9320891532200"
"1","9320891533800"
