"Intermediary Value","nanoTime"
"79","9320887625200"
"238","9320887635800"
"119","9320887640400"
"358","9320887644000"
"179","9320887651000"
"538","9320887654400"
"269","9320887657800"
"808","9320887666600"
"404","9320887670000"
"202","9320887679400"
"101","9320887687200"
"304","9320887690700"
"152","9320887694200"
"76","9320887701400"
"38","9320887704900"
"19","9320887708300"
"58","9320887715100"
"29","9320887718500"
"88","9320887722200"
"44","9320887729100"
"22","9320887732800"
"11","9320887736400"
"34","9320887743200"
"17","9320887746600"
"52","9320887749900"
"26","9320887756600"
"13","9320887760000"
"40","9320887763300"
"20","9320887770400"
"10","9320887773800"
"5","9320887777200"
"16","9320887784300"
"8","9320887787800"
"4","9320887791200"
"2","9320887798000"
"1","9320887801400"
