"Intermediary Value","nanoTime"
"39","9320855595100"
"118","9320855600300"
"59","9320855603800"
"178","9320855609100"
"89","9320855612400"
"268","9320855615300"
"134","9320855620000"
"67","9320855623400"
"202","9320855626400"
"101","9320855631000"
"304","9320855634200"
"152","9320855637500"
"76","9320855642100"
"38","9320855645500"
"19","9320855648500"
"58","9320855651400"
"29","9320855656200"
"88","9320855659100"
"44","9320855662000"
"22","9320855666700"
"11","9320855669600"
"34","9320855672400"
"17","9320855677200"
"52","9320855680100"
"26","9320855683000"
"13","9320855687800"
"40","9320855691000"
"20","9320855694000"
"10","9320855698800"
"5","9320855702000"
"16","9320855707500"
"8","9320855712500"
"4","9320855716500"
"2","9320855719600"
"1","9320855724400"
