"Intermediary Value","nanoTime"
"94","9320898656100"
"47","9320898659000"
"142","9320898660900"
"71","9320898664300"
"214","9320898665900"
"107","9320898667500"
"322","9320898670500"
"161","9320898672000"
"484","9320898673500"
"242","9320898676600"
"121","9320898678300"
"364","9320898679800"
"182","9320898682900"
"91","9320898684400"
"274","9320898685900"
"137","9320898688900"
"412","9320898690500"
"206","9320898692100"
"103","9320898695100"
"310","9320898696600"
"155","9320898698100"
"466","9320898701200"
"233","9320898702700"
"700","9320898704200"
"350","9320898707500"
"175","9320898709100"
"526","9320898710500"
"263","9320898713600"
"790","9320898715100"
"395","9320898716400"
"1186","9320898719500"
"593","9320898721200"
"1780","9320898722600"
"890","9320898725800"
"445","9320898727300"
"1336","9320898728600"
"668","9320898731600"
"334","9320898733100"
"167","9320898734400"
"502","9320898737400"
"251","9320898738900"
"754","9320898740300"
"377","9320898743300"
"1132","9320898744700"
"566","9320898746100"
"283","9320898749100"
"850","9320898750500"
"425","9320898751900"
"1276","9320898754900"
"638","9320898756400"
"319","9320898757900"
"958","9320898761000"
"479","9320898762500"
"1438","9320898763800"
"719","9320898766900"
"2158","9320898768500"
"1079","9320898769900"
"3238","9320898773100"
"1619","9320898774600"
"4858","9320898776000"
"2429","9320898783600"
"7288","9320898785400"
"3644","9320898786800"
"1822","9320898790300"
"911","9320898792200"
"2734","9320898793600"
"1367","9320898796900"
"4102","9320898798500"
"2051","9320898799900"
"6154","9320898802900"
"3077","9320898804500"
"9232","9320898805900"
"4616","9320898809000"
"2308","9320898810700"
"1154","9320898812100"
"577","9320898815200"
"1732","9320898816800"
"866","9320898818300"
"433","9320898821300"
"1300","9320898822800"
"650","9320898824200"
"325","9320898827200"
"976","9320898828800"
"488","9320898830300"
"244","9320898833100"
"122","9320898834700"
"61","9320898836100"
"184","9320898839800"
"92","9320898843100"
"46","9320898844500"
"23","9320898845800"
"70","9320898848900"
"35","9320898850600"
"106","9320898852000"
"53","9320898855000"
"160","9320898856500"
"80","9320898858000"
"40","9320898861000"
"20","9320898862600"
"10","9320898864100"
"5","9320898867400"
"16","9320898869000"
"8","9320898870500"
"4","9320898873700"
"2","9320898875200"
"1","9320898876700"
