"Intermediary Value","nanoTime"
"62","9320873007700"
"31","9320873018500"
"94","9320873021300"
"47","9320873026100"
"142","9320873028400"
"71","9320873030700"
"214","9320873034600"
"107","9320873036800"
"322","9320873066800"
"161","9320873069300"
"484","9320873071700"
"242","9320873075700"
"121","9320873078000"
"364","9320873080000"
"182","9320873083700"
"91","9320873085800"
"274","9320873087900"
"137","9320873091700"
"412","9320873093900"
"206","9320873096300"
"103","9320873100000"
"310","9320873103600"
"155","9320873105900"
"466","9320873109600"
"233","9320873111900"
"700","9320873114100"
"350","9320873117600"
"175","9320873119900"
"526","9320873122100"
"263","9320873124100"
"790","9320873128100"
"395","9320873130300"
"1186","9320873132400"
"593","9320873136700"
"1780","9320873138900"
"890","9320873141000"
"445","9320873144800"
"1336","9320873146900"
"668","9320873149400"
"334","9320873153300"
"167","9320873155700"
"502","9320873157800"
"251","9320873161600"
"754","9320873163900"
"377","9320873166200"
"1132","9320873169900"
"566","9320873172200"
"283","9320873174600"
"850","9320873178300"
"425","9320873180600"
"1276","9320873184600"
"638","9320873189300"
"319","9320873191600"
"958","9320873194000"
"479","9320873198000"
"1438","9320873200200"
"719","9320873202500"
"2158","9320873206200"
"1079","9320873208600"
"3238","9320873210800"
"1619","9320873214600"
"4858","9320873216800"
"2429","9320873219000"
"7288","9320873223000"
"3644","9320873225400"
"1822","9320873227700"
"911","9320873231500"
"2734","9320873233700"
"1367","9320873235900"
"4102","9320873239800"
"2051","9320873242100"
"6154","9320873244200"
"3077","9320873249100"
"9232","9320873251300"
"4616","9320873253400"
"2308","9320873257300"
"1154","9320873259500"
"577","9320873261500"
"1732","9320873265700"
"866","9320873267900"
"433","9320873270000"
"1300","9320873273900"
"650","9320873276100"
"325","9320873278100"
"976","9320873282300"
"488","9320873284500"
"244","9320873286600"
"122","9320873290400"
"61","9320873292600"
"184","9320873294700"
"92","9320873302100"
"46","9320873304300"
"23","9320873306400"
"70","9320873310300"
"35","9320873312500"
"106","9320873315800"
"53","9320873320800"
"160","9320873323100"
"80","9320873325200"
"40","9320873328900"
"20","9320873331100"
"10","9320873333200"
"5","9320873337000"
"16","9320873339500"
"8","9320873341600"
"4","9320873345400"
"2","9320873347700"
"1","9320873349700"
