"Intermediary Value","nanoTime"
"43","9320858884300"
"130","9320858892200"
"65","9320858895800"
"196","9320858899000"
"98","9320858904200"
"49","9320858907300"
"148","9320858910200"
"74","9320858915100"
"37","9320858918200"
"112","9320858921000"
"56","9320858926000"
"28","9320858929000"
"14","9320858931900"
"7","9320858936600"
"22","9320858939600"
"11","9320858942500"
"34","9320858947400"
"17","9320858950500"
"52","9320858953300"
"26","9320858958000"
"13","9320858961000"
"40","9320858963900"
"20","9320858968500"
"10","9320858971600"
"5","9320858974500"
"16","9320858979100"
"8","9320858982100"
"4","9320858984900"
"2","9320858989500"
"1","9320858992400"
