"Intermediary Value","nanoTime"
"41","9320856982200"
"124","9320856987300"
"62","9320856993400"
"31","9320857021700"
"94","9320857025300"
"47","9320857030700"
"142","9320857033900"
"71","9320857037000"
"214","9320857041600"
"107","9320857044700"
"322","9320857047800"
"161","9320857054800"
"484","9320857057900"
"242","9320857061000"
"121","9320857065900"
"364","9320857068900"
"182","9320857071800"
"91","9320857076600"
"274","9320857079600"
"137","9320857082500"
"412","9320857087100"
"206","9320857090000"
"103","9320857093000"
"310","9320857097700"
"155","9320857100800"
"466","9320857103700"
"233","9320857108400"
"700","9320857111400"
"350","9320857114300"
"175","9320857119100"
"526","9320857122100"
"263","9320857125000"
"790","9320857130700"
"395","9320857133700"
"1186","9320857136700"
"593","9320857142100"
"1780","9320857145200"
"890","9320857148200"
"445","9320857153500"
"1336","9320857156700"
"668","9320857159700"
"334","9320857166000"
"167","9320857169800"
"502","9320857172900"
"251","9320857189300"
"754","9320857192600"
"377","9320857195800"
"1132","9320857201500"
"566","9320857204900"
"283","9320857207900"
"850","9320857213100"
"425","9320857216400"
"1276","9320857219300"
"638","9320857224900"
"319","9320857228000"
"958","9320857230800"
"479","9320857236000"
"1438","9320857239200"
"719","9320857242200"
"2158","9320857247400"
"1079","9320857250500"
"3238","9320857253500"
"1619","9320857258700"
"4858","9320857261800"
"2429","9320857264700"
"7288","9320857269800"
"3644","9320857283300"
"1822","9320857287000"
"911","9320857292200"
"2734","9320857295500"
"1367","9320857298500"
"4102","9320857303600"
"2051","9320857307000"
"6154","9320857310000"
"3077","9320857313000"
"9232","9320857325300"
"4616","9320857329000"
"2308","9320857332000"
"1154","9320857336900"
"577","9320857339900"
"1732","9320857342800"
"866","9320857347600"
"433","9320857350600"
"1300","9320857353500"
"650","9320857360200"
"325","9320857363700"
"976","9320857366700"
"488","9320857371700"
"244","9320857374800"
"122","9320857378100"
"61","9320857382900"
"184","9320857386000"
"92","9320857389300"
"46","9320857393900"
"23","9320857397000"
"70","9320857400200"
"35","9320857405000"
"106","9320857408200"
"53","9320857411200"
"160","9320857416300"
"80","9320857419700"
"40","9320857422700"
"20","9320857427600"
"10","9320857431000"
"5","9320857434000"
"16","9320857438900"
"8","9320857442300"
"4","9320857445300"
"2","9320857450600"
"1","9320857453600"
