"Intermediary Value","nanoTime"
"78","9320886124000"
"39","9320886130600"
"118","9320886139000"
"59","9320886143000"
"178","9320886146600"
"89","9320886153700"
"268","9320886157300"
"134","9320886166900"
"67","9320886174400"
"202","9320886177700"
"101","9320886181200"
"304","9320886188000"
"152","9320886191500"
"76","9320886194900"
"38","9320886201600"
"19","9320886205100"
"58","9320886209900"
"29","9320886216900"
"88","9320886220200"
"44","9320886223500"
"22","9320886230200"
"11","9320886233600"
"34","9320886236900"
"17","9320886243700"
"52","9320886247300"
"26","9320886250700"
"13","9320886257300"
"40","9320886260600"
"20","9320886263900"
"10","9320886272800"
"5","9320886277900"
"16","9320886281500"
"8","9320886288400"
"4","9320886292100"
"2","9320886299100"
"1","9320886306800"
