"Intermediary Value","nanoTime"
"97","9320901014900"
"292","9320901018300"
"146","9320901022600"
"73","9320901026300"
"220","9320901029000"
"110","9320901030500"
"55","9320901035900"
"166","9320901038400"
"83","9320901040000"
"250","9320901043600"
"125","9320901045300"
"376","9320901046700"
"188","9320901049700"
"94","9320901051400"
"47","9320901052900"
"142","9320901054200"
"71","9320901057800"
"214","9320901059400"
"107","9320901060800"
"322","9320901064600"
"161","9320901066100"
"484","9320901067400"
"242","9320901070800"
"121","9320901072300"
"364","9320901073700"
"182","9320901076800"
"91","9320901078500"
"274","9320901081800"
"137","9320901085000"
"412","9320901086500"
"206","9320901088000"
"103","9320901091000"
"310","9320901092500"
"155","9320901094200"
"466","9320901097200"
"233","9320901098800"
"700","9320901100300"
"350","9320901103200"
"175","9320901104800"
"526","9320901106500"
"263","9320901109800"
"790","9320901111300"
"395","9320901112800"
"1186","9320901115900"
"593","9320901117700"
"1780","9320901119200"
"890","9320901122400"
"445","9320901124000"
"1336","9320901125400"
"668","9320901128600"
"334","9320901130300"
"167","9320901131800"
"502","9320901134900"
"251","9320901136400"
"754","9320901137900"
"377","9320901141100"
"1132","9320901142700"
"566","9320901144200"
"283","9320901147200"
"850","9320901148600"
"425","9320901150000"
"1276","9320901152800"
"638","9320901154300"
"319","9320901155700"
"958","9320901158600"
"479","9320901160100"
"1438","9320901161400"
"719","9320901166500"
"2158","9320901168000"
"1079","9320901169400"
"3238","9320901172300"
"1619","9320901173900"
"4858","9320901175200"
"2429","9320901178200"
"7288","9320901180700"
"3644","9320901182200"
"1822","9320901185600"
"911","9320901187100"
"2734","9320901188500"
"1367","9320901191500"
"4102","9320901193100"
"2051","9320901194500"
"6154","9320901197800"
"3077","9320901199300"
"9232","9320901200700"
"4616","9320901203700"
"2308","9320901205300"
"1154","9320901206700"
"577","9320901209800"
"1732","9320901211400"
"866","9320901212800"
"433","9320901216000"
"1300","9320901217500"
"650","9320901219600"
"325","9320901222700"
"976","9320901224100"
"488","9320901225500"
"244","9320901229200"
"122","9320901230900"
"61","9320901232300"
"184","9320901235300"
"92","9320901236700"
"46","9320901238100"
"23","9320901241000"
"70","9320901242600"
"35","9320901244800"
"106","9320901247800"
"53","9320901249400"
"160","9320901250900"
"80","9320901253800"
"40","9320901255300"
"20","9320901256800"
"10","9320901259900"
"5","9320901261500"
"16","9320901262900"
"8","9320901265800"
"4","9320901267400"
"2","9320901268800"
"1","9320901270100"
