"Intermediary Value","nanoTime"
"73","9320881032000"
"220","9320881035900"
"110","9320881038400"
"55","9320881042000"
"166","9320881044100"
"83","9320881046000"
"250","9320881049200"
"125","9320881051300"
"376","9320881053100"
"188","9320881054800"
"94","9320881058300"
"47","9320881060000"
"142","9320881061700"
"71","9320881065200"
"214","9320881066800"
"107","9320881068500"
"322","9320881073100"
"161","9320881075000"
"484","9320881076800"
"242","9320881080500"
"121","9320881082500"
"364","9320881084300"
"182","9320881087700"
"91","9320881089600"
"274","9320881091500"
"137","9320881095000"
"412","9320881096900"
"206","9320881099100"
"103","9320881102400"
"310","9320881104400"
"155","9320881106300"
"466","9320881109700"
"233","9320881111700"
"700","9320881116700"
"350","9320881120400"
"175","9320881122400"
"526","9320881124300"
"263","9320881128000"
"790","9320881129900"
"395","9320881131700"
"1186","9320881135100"
"593","9320881137200"
"1780","9320881139100"
"890","9320881142700"
"445","9320881144700"
"1336","9320881146600"
"668","9320881150500"
"334","9320881152500"
"167","9320881154300"
"502","9320881158200"
"251","9320881160200"
"754","9320881173300"
"377","9320881177300"
"1132","9320881183000"
"566","9320881184900"
"283","9320881188600"
"850","9320881190400"
"425","9320881192100"
"1276","9320881195800"
"638","9320881197700"
"319","9320881199400"
"958","9320881202800"
"479","9320881204600"
"1438","9320881207200"
"719","9320881210700"
"2158","9320881212500"
"1079","9320881214300"
"3238","9320881221500"
"1619","9320881223500"
"4858","9320881225300"
"2429","9320881228700"
"7288","9320881230600"
"3644","9320881232300"
"1822","9320881235900"
"911","9320881237900"
"2734","9320881239600"
"1367","9320881242900"
"4102","9320881244900"
"2051","9320881246600"
"6154","9320881250000"
"3077","9320881252900"
"9232","9320881254700"
"4616","9320881258600"
"2308","9320881260700"
"1154","9320881262400"
"577","9320881266400"
"1732","9320881268600"
"866","9320881270300"
"433","9320881273700"
"1300","9320881275700"
"650","9320881277400"
"325","9320881280800"
"976","9320881283300"
"488","9320881285200"
"244","9320881288400"
"122","9320881291100"
"61","9320881292900"
"184","9320881296100"
"92","9320881297900"
"46","9320881299700"
"23","9320881302900"
"70","9320881304700"
"35","9320881306400"
"106","9320881309600"
"53","9320881312200"
"160","9320881313900"
"80","9320881319500"
"40","9320881321900"
"20","9320881323700"
"10","9320881326900"
"5","9320881329000"
"16","9320881330900"
"8","9320881332700"
"4","9320881336400"
"2","9320881338300"
"1","9320881340000"
