"Intermediary Value","nanoTime"
"76","9320883636500"
"38","9320883664500"
"19","9320883674100"
"58","9320883678400"
"29","9320883682100"
"88","9320883688900"
"44","9320883692500"
"22","9320883695900"
"11","9320883707400"
"34","9320883711200"
"17","9320883714600"
"52","9320883717900"
"26","9320883725400"
"13","9320883728900"
"40","9320883732300"
"20","9320883739200"
"10","9320883742700"
"5","9320883746200"
"16","9320883753300"
"8","9320883757000"
"4","9320883760500"
"2","9320883767400"
"1","9320883770700"
