"Intermediary Value","nanoTime"
"98","9320901880500"
"49","9320901885300"
"148","9320901887200"
"74","9320901888700"
"37","9320901891800"
"112","9320901893300"
"56","9320901894800"
"28","9320901897800"
"14","9320901899400"
"7","9320901900800"
"22","9320901908300"
"11","9320901909900"
"34","9320901911200"
"17","9320901914300"
"52","9320901916100"
"26","9320901919800"
"13","9320901923000"
"40","9320901924500"
"20","9320901926100"
"10","9320901929200"
"5","9320901930600"
"16","9320901932100"
"8","9320901935200"
"4","9320901936600"
"2","9320901938100"
"1","9320901941100"
