"Intermediary Value","nanoTime"
"77","9320884919600"
"232","9320884927000"
"116","9320884935700"
"58","9320884939700"
"29","9320884943100"
"88","9320884949900"
"44","9320884953600"
"22","9320884957000"
"11","9320884963900"
"34","9320884967300"
"17","9320884970700"
"52","9320884977600"
"26","9320884981200"
"13","9320884984500"
"40","9320884991300"
"20","9320884994800"
"10","9320884998200"
"5","9320885004900"
"16","9320885009000"
"8","9320885012500"
"4","9320885019100"
"2","9320885022600"
"1","9320885025900"
