"Intermediary Value","nanoTime"
"89","9320895329900"
"268","9320895333300"
"134","9320895335300"
"67","9320895338300"
"202","9320895340300"
"101","9320895341900"
"304","9320895343400"
"152","9320895346800"
"76","9320895348400"
"38","9320895350000"
"19","9320895353400"
"58","9320895355100"
"29","9320895356500"
"88","9320895359800"
"44","9320895361500"
"22","9320895363200"
"11","9320895366400"
"34","9320895368100"
"17","9320895370000"
"52","9320895373300"
"26","9320895374900"
"13","9320895376800"
"40","9320895380000"
"20","9320895381700"
"10","9320895383500"
"5","9320895386600"
"16","9320895388400"
"8","9320895390000"
"4","9320895393500"
"2","9320895395100"
"1","9320895396900"
