"Intermediary Value","nanoTime"
"72","9320880363800"
"36","9320880373600"
"18","9320880377900"
"9","9320880380100"
"28","9320880386200"
"14","9320880388200"
"7","9320880390000"
"22","9320880393500"
"11","9320880395400"
"34","9320880397200"
"17","9320880400500"
"52","9320880402500"
"26","9320880404300"
"13","9320880407700"
"40","9320880409600"
"20","9320880411400"
"10","9320880415000"
"5","9320880416800"
"16","9320880418600"
"8","9320880422400"
"4","9320880424300"
"2","9320880426100"
"1","9320880430100"
