"Intermediary Value","nanoTime"
"81","9320889786900"
"244","9320889790400"
"122","9320889792600"
"61","9320889796300"
"184","9320889798200"
"92","9320889799900"
"46","9320889803300"
"23","9320889805000"
"70","9320889806500"
"35","9320889809700"
"106","9320889811400"
"53","9320889813000"
"160","9320889816100"
"80","9320889817800"
"40","9320889819300"
"20","9320889822500"
"10","9320889824200"
"5","9320889825700"
"16","9320889833700"
"8","9320889835600"
"4","9320889837200"
"2","9320889840500"
"1","9320889842300"
